Description,Size,Code,Price
korpus,100x58x236,80458207,25
korpus,100x35x201,30458196,25
korpus,100x35x236,70458199,25
korpus,100x58x201,70458203,25
korpus,100x58x236,20458205,25
korpus,100x58x201,10458201,25
korpus,100x58x236,60458208,25
korpus,100x35x236,00458206,25
korpus,100x58x201,50458204,25
korpus,50x58x236,90458221,25
korpus,50x58x201,70458217,25
korpus,50x35x236,60458213,25
korpus,50x35x201,20458210,25
korpus,50x58x236,30458219,25
korpus,50x58x201,10458215,25
korpus,50x58x236,70458222,25
korpus,50x58x236,10458220,25
korpus,50x58x201,50458218,25
korpus,75x58x236,90458235,25
korpus,75x58x236,20458234,25
korpus,75x58x201,80458231,25
korpus,75x35x236,60458227,25
korpus,75x35x201,30458224,25
korpus,75x58x236,40458233,25
korpus,75x58x201,20458229,25
korpus,75x58x236,70458236,25
korpus,75x58x201,60458232,25
korpus,50x58x201,90458216,25
Eckanbauelement/4 Böden,53x58x236 cm,30346934,40
Eckanbauelement/4 Böden,53x58x201,70346932,40
Eckanbauelement/4 Böden,53x35x236,80346941,40
Eckanbauelement/4 Böden,53x35x201,40346938,40
Eckanbauelement/4 Böden,53x58x236,20515121,40
Eckanbauelement/4 Böden,53x58x201,60515119,40
beleuchtung,96,20474903,8
beleuchtung,standard,00516819,8
beleuchtung,standard,60527891,8
beleuchtung,72,90360093,8
beleuchtung,96,00474904,8
beleuchtung,96,30474907,8
beleuchtung,standard,60516821,8
beleuchtung,60,10529374,8
beleuchtung,60,50529230,8
beleuchtung,standard,90519917,8
beleuchtung,96,20589536,8
beleuchtung,96,50589549,8
beleuchtung,71,20589485,8
beleuchtung,71,80589519,8
beleuchtung,46,00589269,8
beleuchtung,46,70589416,8
boden,100x58,70277957,3
boden,100x35,00277989,3
boden,75x58,90277961,3
boden,75x35,70277995,3
boden,50x58,30277959,3
boden,50x35,40277992,3
boden,100x58,60509142,3
boden,100x58,40509039,3
boden,75x58,10509149,3
boden,75x58,70509047,3
boden,50x58,90509145,3
boden,100x58,10277984,3
boden,75x58,50277977,3
boden,50x58,70277981,3
boden,50x58,60509043,3
schublade,100x58,90246352,10
schublade,100x58,50509072,10
schublade,100x58,20509083,10
schublade,100x35,70246758,10
schublade,75x58,10246332,10
schublade,75x35,70246744,10
schublade,50x58,10246308,10
schublade,50x35,30246722,10
schublade,100x58,90509193,10
schublade,75x58,60509199,10
schublade,75x58,90509089,10
schublade,50x58,20509196,10
schublade,100x58,70246348,10
schublade,75x58,90246328,10
schublade,50x58,50246306,10
schublade,50x58,60509076,10
Netzdrahtkorb,100x58,00257298,3
Netzdrahtkorb,100x35,90257294,3
Netzdrahtkorb,75x58,20257315,3
Netzdrahtkorb,75x35,10257311,3
Netzdrahtkorb,50x58,10257306,3
Netzdrahtkorb,50x35,00257302,3
Netzdrahtkorb,100x58,40257296,3
Netzdrahtkorb,75x58,70257313,3
Netzdrahtkorb,50x58,60257304,3
