id,replacedBy
00214572,70458199
00273415,40458214
00400003,70591056
00509135,20458229
10211276,00587741
10509125,20458205
10509234,80458212
20201724,50458218
20214566,70458203
20214571,90458235
20273419,40458228
20399999,60591052
20509021,90458202
20509224,50458195
30183989,60458208
30211275,70587747
30273409,10458197
30290362,60591047
30509030,10458220
40201723,50458204
40211977,30458224
40214565,60458213
40509138,40458233
40509237,50458223
50183993,70458236
50214560,80458207
50273413,00458211
50509034,00458230
50509128,10458215
50509227,90458198
60211274,10587745
60214569,20458210
60273417,00458225
60400000,50591062
60509024,00458206
60509241,80458226
70214559,70458217
70214564,80458231
70290360,20591049
70408595,20528128
70509132,30458219
80207493,60458227
80214568,90458221
80509037,20458234
80509122,10458201
90183991,70458222
90201725,60458232
90211277,60587743
90214563,30458196
90273411,30458200
90294989,10591059
90509027,90458216
90509230,40458209
